DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2010,64.1005674363156,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,59.4184113082684,69.2657364298643,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2011,61.7264408042452,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,56.920934714591,67.0898832969581,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2012,59.4546416313267,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,54.3514916475025,65.032220317434,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2013,57.2251511459076,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,51.9090665716745,63.1132554833444,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2014,55.1609324695299,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,49.3425183029759,61.386848475069,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2015,53.1698069139217,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,46.8142676505107,59.7877683064908,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2016,51.3191407072154,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,44.3560785011347,58.3789062246283,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2017,49.6114278272348,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,42.0776711521563,57.2266832225475,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2018,48.0433349598417,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,39.9443024674872,56.3200570241323,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2019,46.5128248805674,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,37.70591557629,55.8186836711784,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2000,31.832054,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2001,31.860909,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2002,34.185856,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2003,36.510876,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2004,38.853474,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2005,41.214035,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2006,43.575069,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2007,45.936909,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2008,48.299225,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2009,50.662025,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2010,53.025311,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2011,55.389404,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2012,57.753983,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2013,60.119049,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2014,62.484612,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2015,64.850983,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2016,67.217842,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2017,69.589081,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2018,71.965363,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2019,74.346367,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2020,76.538956,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2000,43.178307,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2001,43.167542,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2002,41.689621,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2003,40.21093,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2004,38.724281,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2005,37.228836,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2006,35.73156,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2007,34.232292,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2008,32.731155,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2009,31.22814,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2010,29.723232,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2011,28.216255,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2012,26.707354,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2013,25.196514,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2014,23.683716,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2015,22.168783,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2016,20.651863,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2017,19.130726,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2018,17.604824,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2019,16.04229,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2020,14.560263,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2000,56.009354,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2001,57.114311,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2002,58.237267,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2003,59.351955,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2004,60.47221,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2005,61.599842,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2006,62.726479,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2007,63.855328,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2008,64.997993,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2009,66.137596,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2010,67.274101,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2011,68.374718,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2012,69.507896,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2013,70.636406,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2014,71.759605,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2015,72.877777,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2016,73.990555,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2017,75.113998,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2018,76.218018,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2019,77.314087,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-I: Proportion of population using improved drinking water sources,_T: Total,2020,78.259079,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2000,26.149969,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2001,25.460058,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2002,24.929146,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2003,24.408939,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2004,23.880432,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2005,23.344551,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2006,22.804775,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2007,22.261274,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2008,21.706539,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2009,21.150606,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,WS_PPL_W-UI: Proportion of population using unimproved drinking water sources,_T: Total,2010,20.593693,,PCNT: %,,,,,,,,WHO/UNICEF Joint Monitoring Programme (2021),,,,,,_T: Total
